gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep_(jaar);geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte;15 – 64;Vrouwelijk;1569
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte;65 – ...;Mannelijk;821
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte;65 – ...;Vrouwelijk;880
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs; 0 – 14;Mannelijk;145
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs; 0 – 14;Vrouwelijk;169
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs;15 – 64;Mannelijk;1200
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs;15 – 64;Vrouwelijk;1699
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs;65 – ...;Mannelijk;854
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs;65 – ...;Vrouwelijk;918
Vlaams Gewest;Antwerpen;Mechelen;12034.0;2890.0;Sint-Amands; 0 – 14;Mannelijk;85
