région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge_(ans);sexe;nombre_de_séjours
Région flamande;Anvers;Turnhout;13002.0;2387.0;Baerle-Duc; 0 – 14;Masculin;14
Région flamande;Anvers;Turnhout;13002.0;2387.0;Baerle-Duc; 0 – 14;Féminin;15
Région flamande;Anvers;Turnhout;13002.0;2387.0;Baerle-Duc;15 – 64;Masculin;77
Région flamande;Anvers;Turnhout;13002.0;2387.0;Baerle-Duc;15 – 64;Féminin;98
Région flamande;Anvers;Turnhout;13002.0;2387.0;Baerle-Duc;65 – ...;Masculin;82
Région flamande;Anvers;Turnhout;13002.0;2387.0;Baerle-Duc;65 – ...;Féminin;65
Région flamande;Anvers;Turnhout;13003.0;2490.0;Balen; 0 – 14;Masculin;240
Région flamande;Anvers;Turnhout;13003.0;2490.0;Balen; 0 – 14;Féminin;192
Région flamande;Anvers;Turnhout;13003.0;2490.0;Balen;15 – 64;Masculin;804
Région flamande;Anvers;Turnhout;13003.0;2490.0;Balen;15 – 64;Féminin;1107
Région flamande;Anvers;Turnhout;13003.0;2490.0;Balen;65 – ...;Masculin;704
Région flamande;Anvers;Turnhout;13003.0;2490.0;Balen;65 – ...;Féminin;767
Région flamande;Anvers;Turnhout;13004.0;2340.0;Beerse; 0 – 14;Masculin;132
Région flamande;Anvers;Turnhout;13004.0;2340.0;Beerse; 0 – 14;Féminin;149
Région flamande;Anvers;Turnhout;13004.0;2340.0;Beerse;15 – 64;Masculin;596
Région flamande;Anvers;Turnhout;13004.0;2340.0;Beerse;15 – 64;Féminin;857
Région flamande;Anvers;Turnhout;13004.0;2340.0;Beerse;65 – ...;Masculin;437
Région flamande;Anvers;Turnhout;13004.0;2340.0;Beerse;65 – ...;Féminin;425
Région flamande;Anvers;Turnhout;13006.0;2480.0;Dessel; 0 – 14;Masculin;92
Région flamande;Anvers;Turnhout;13006.0;2480.0;Dessel; 0 – 14;Féminin;72
Région flamande;Anvers;Turnhout;13006.0;2480.0;Dessel;15 – 64;Masculin;409
Région flamande;Anvers;Turnhout;13006.0;2480.0;Dessel;15 – 64;Féminin;452
Région flamande;Anvers;Turnhout;13006.0;2480.0;Dessel;65 – ...;Masculin;425
Région flamande;Anvers;Turnhout;13006.0;2480.0;Dessel;65 – ...;Féminin;291
Région flamande;Anvers;Turnhout;13008.0;2440.0;Geel; 0 – 14;Masculin;338
Région flamande;Anvers;Turnhout;13008.0;2440.0;Geel; 0 – 14;Féminin;328
Région flamande;Anvers;Turnhout;13008.0;2440.0;Geel;15 – 64;Masculin;1682
Région flamande;Anvers;Turnhout;13008.0;2440.0;Geel;15 – 64;Féminin;2025
Région flamande;Anvers;Turnhout;13008.0;2440.0;Geel;65 – ...;Masculin;1210
Région flamande;Anvers;Turnhout;13008.0;2440.0;Geel;65 – ...;Féminin;1300
Région flamande;Anvers;Turnhout;13010.0;2280.0;Grobbendonk; 0 – 14;Masculin;51
Région flamande;Anvers;Turnhout;13010.0;2280.0;Grobbendonk; 0 – 14;Féminin;62
Région flamande;Anvers;Turnhout;13010.0;2280.0;Grobbendonk;15 – 64;Masculin;440
Région flamande;Anvers;Turnhout;13010.0;2280.0;Grobbendonk;15 – 64;Féminin;450
Région flamande;Anvers;Turnhout;13010.0;2280.0;Grobbendonk;65 – ...;Masculin;345
Région flamande;Anvers;Turnhout;13010.0;2280.0;Grobbendonk;65 – ...;Féminin;329
Région flamande;Anvers;Turnhout;13011.0;2200.0;Herentals; 0 – 14;Masculin;203
