gewest;provincie_of_brussels_hoofdstedelijk_gewest;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;daghospitalisatie
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;15 - 64;Mannelijk;2.650
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;15 - 64;Vrouwelijk;4.601
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;65 - ...;Mannelijk;2.061
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;65 - ...;Vrouwelijk;2.437
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;0 - 14;Mannelijk;1.051
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;0 - 14;Vrouwelijk;635
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;15 - 64;Mannelijk;5.818
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;15 - 64;Vrouwelijk;9.618
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;65 - ...;Mannelijk;4.336
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;65 - ...;Vrouwelijk;5.485
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;0 - 14;Mannelijk;205
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;0 - 14;Vrouwelijk;137
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;15 - 64;Mannelijk;1.707
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;15 - 64;Vrouwelijk;2.847
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;65 - ...;Mannelijk;1.408
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;65 - ...;Vrouwelijk;1.674
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;0 - 14;Mannelijk;159
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;0 - 14;Vrouwelijk;132
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;15 - 64;Mannelijk;1.146
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;15 - 64;Vrouwelijk;1.587
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;65 - ...;Mannelijk;1.085
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;65 - ...;Vrouwelijk;1.242
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;0 - 14;Mannelijk;146
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;0 - 14;Vrouwelijk;86
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;15 - 64;Mannelijk;1.517
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;15 - 64;Vrouwelijk;1.953
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;65 - ...;Mannelijk;1.292
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;65 - ...;Vrouwelijk;1.299
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;0 - 14;Mannelijk;66
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;0 - 14;Vrouwelijk;56
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;15 - 64;Mannelijk;574
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;15 - 64;Vrouwelijk;1.064
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;65 - ...;Mannelijk;501
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;65 - ...;Vrouwelijk;472
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;0 - 14;Mannelijk;159
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;0 - 14;Vrouwelijk;129
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;15 - 64;Mannelijk;1.449
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;15 - 64;Vrouwelijk;2.114
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;65 - ...;Mannelijk;1.304
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;65 - ...;Vrouwelijk;1.657
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;0 - 14;Mannelijk;298
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;0 - 14;Vrouwelijk;187
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;15 - 64;Mannelijk;1.916
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;15 - 64;Vrouwelijk;3.121
