gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep_(jaar);geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel;15 – 64;Mannelijk;645
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel;15 – 64;Vrouwelijk;879
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel;65 – ...;Mannelijk;619
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel;65 – ...;Vrouwelijk;684
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht; 0 – 14;Mannelijk;106
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht; 0 – 14;Vrouwelijk;91
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht;15 – 64;Mannelijk;672
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht;15 – 64;Vrouwelijk;921
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht;65 – ...;Mannelijk;579
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht;65 – ...;Vrouwelijk;653
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle; 0 – 14;Mannelijk;137
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle; 0 – 14;Vrouwelijk;108
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle;15 – 64;Mannelijk;485
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle;15 – 64;Vrouwelijk;662
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle;65 – ...;Mannelijk;433
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle;65 – ...;Vrouwelijk;538
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar; 0 – 14;Mannelijk;71
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar; 0 – 14;Vrouwelijk;70
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar;15 – 64;Mannelijk;321
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar;15 – 64;Vrouwelijk;482
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar;65 – ...;Mannelijk;324
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar;65 – ...;Vrouwelijk;366
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden; 0 – 14;Mannelijk;115
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden; 0 – 14;Vrouwelijk;92
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden;15 – 64;Mannelijk;449
