région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_de_jour
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Masculin;714
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Féminin;561
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Masculin;116
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Féminin;66
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Masculin;1 066
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Féminin;1 404
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Masculin;1 129
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Féminin;698
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Masculin;175
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Féminin;137
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Masculin;1 521
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Féminin;1 833
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Masculin;1 364
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Féminin;1 178
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Masculin;76
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Féminin;140
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Masculin;971
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Féminin;1 461
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Masculin;972
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Féminin;943
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Masculin;119
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Féminin;87
